〓,〓,〓,〓,〓,〓,Ａ,４,　,　,　,　,　,　,　,　
〓,　,３,４,　,〓,Ｂ,４,　,　,　,　,　,　,　,　
〓,　,？,　,　,〓,Ｃ,２,　,　,　,　,　,　,　,　
〓,３,　,　,１,〓,Ｄ,２,　,　,　,　,　,　,　,　
〓,　,１,３,　,〓,　,　,　,　,　,　,　,　,　,　
〓,〓,〓,〓,〓,〓,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
