█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓
▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓,▓
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
